Old_Name,New_Name
I2_3,Tsfo1_LVSwbd1_Feeder3_I2
I2_4,Tsfo1_LVSwbd1_Feeder4_I2
I2_5,Tsfo1_LVSwbd1_Feeder5_I2
I2_6,Tsfo1_LVSwbd1_Feeder6_I2
I2_7,Tsfo1_LVSwbd1_Feeder7_I2
I2_8,Tsfo1_LVSwbd1_Feeder8_I2
I2_9,Tsfo1_LV_I2
I3_2,Tsfo1_LVSwbd1_Feeder2_I3
I3_3,Tsfo1_LVSwbd1_Feeder3_I3
I3_4,Tsfo1_LVSwbd1_Feeder4_I3
I3_5,Tsfo1_LVSwbd1_Feeder5_I3
I3_6,Tsfo1_LVSwbd1_Feeder6_I3
I3_7,Tsfo1_LVSwbd1_Feeder7_I3
I3_8,Tsfo1_LVSwbd1_Feeder8_I3
I3_9,Tsfo1_LV_I3
In_1,Tsfo1_LVSwbd1_Feeder1_I4
In_2,Tsfo1_LVSwbd1_Feeder2_I4
In_3,Tsfo1_LVSwbd1_Feeder3_I4
In_4,Tsfo1_LVSwbd1_Feeder4_I4
In_5,Tsfo1_LVSwbd1_Feeder5_I4
In_6,Tsfo1_LVSwbd1_Feeder6_I4
In_7,Tsfo1_LVSwbd1_Feeder7_I4
In_8,Tsfo1_LVSwbd1_Feeder8_I4
In_9,Tsfo1_LV_I4
Consigne_In,I4_SetPoint
Consigne_I_Max,I_Max_SetPoint
Consigne_In_Max,I4_Max_SetPoint
ALIMENTATION,PowerSupply
hz2,Tsfo2_LV_F
V2,Tsfo1_LV_V2
V3,Tsfo1_LV_V3
V1-MOY,Tsfo1_LV_V1_Avg
V1-MOY2,Tsfo1_LV_V1_Avg2
V1-Min,Tsfo1_LV_V1_Min
I1_1_Demand,Tsfo1_LVSwbd1_Feeder1_I1_Avg
WhatchdogDDS,WhatchdogDDS
PorteOuverte,DoorOpen
Mouvement,Movement
Inondation,Flood
Fumees,Smokes
Humidite_Poste,SubStation_Hmd
Temperature_Poste,SubStation_Temp
V1-Max,Tsfo1_LV_V1_Max
V2-Moy,Tsfo1_LV_V2_Avg
V2-Min,Tsfo1_LV_V2_Min
V2-Max,Tsfo1_LV_V2_Max
V3-Moy,Tsfo1_LV_V3_Avg
V3-Min,Tsfo1_LV_V3_Min
V3-Max,Tsfo1_LV_V3_Max
V12-Moy,Tsfo1_LV_U12_Avg
V12-Min,Tsfo1_LV_U12_Min
